,Description,Course URL,Assessment of Sustainability Focused or Inclusive,Justification for classification (including quotes from syllabi/course descriptions where applicable),Course Title
1019,This reading seminar is an introduction for graduate students to scholarship on the burgeoning field of the history of capitalism. The course centers largely in the U.S. but also considers developments across the world while noting capitalist formations elsewhere in North America from ca. 1500 to the near present. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=503&p_subj=HIST,N,0,North American Capitalism
1020,"This seminar examines histories of colonialism and racism and resistance to these structures  across Asia, Africa, and America: both as articulated by historical protagonists and by scholars.  ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=504&p_subj=HIST,N,2,Colonialism And Racism
1021,"This research seminar studies four centuries of transatlantic slave voyages in comparative perspective and complements existing literature on the Atlantic economy. Primary sources will be drawn from the quantitative data of www.slavevoyages.org. Students will be able to focus on particular regions on both sides of the Atlantic.
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=505&p_subj=HIST,N,0,The Atlantic Slave Trade
1022,"This course traces the history of Brazil from colony to republic. Topics to be covered include: encounters, Jesuit missions, Indian and African slavery, plantation society, the court in Rio de Janeiro, and change and continuities in the 19th century. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=506&p_subj=HIST,N,0,Colonial To Republican Brazil
1023,"This reading seminar is an introduction for graduate students to the historiography that constitutes the fields of U.S.-Mexico borderlands history. The seminar covers the period from the early colonial period to the near present. Special attention is given to historical questions that have been posed in the related but separate fields of American immigration history, including the significance and conceptualization of U.S. citizenship. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=512&p_subj=HIST,N,0,Borderlands & Immigration
1024,"In this graduate seminar, we will examine U.S. history in a global context, focusing particularly on imperialism and empire-building. Students are encouraged to think broadly about empire and imperial relationships of which the United States constitute an integral part, looking at domination in economic and cultural forms in addition to political subjugation, formal colonialism and military interventions/dominations. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=536&p_subj=HIST,N,1,America & The World
1025,"Graduate research seminar focused on central issues in the articulation of black society, culture, and labor in the Americas from the 15th century to the early 19th century. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=539&p_subj=HIST,N,0,Origins Of Afro America
1026," Graduate seminar will explore the relationship between religion, race, and difference in the modern world. Using both American and non-American cases, the course will explore how and why unequal multi-religious and multi-racial societies - from the United States to the Middle East and South Asia - have elaborated and adapted to modern ideas of secular citizenship and multiculturalism. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=558&p_subj=HIST,N,0,"Religion, Race, & Difference"
1027,"Graduate research seminar designed to help students formulate, research, and produce an initial draft of what will hopefully become a publishable scholarly article dealing with race or slavery in the Atlantic World. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=563&p_subj=HIST,N,2,Early Atlantic Race & Slavery
1028,"Graduate reading seminar provides an introduction to the historiography of the Atlantic World, especially Africa and the British Atlantic during the 17th and 18th centuries with comparison to France and French Caribbean and to Iberia and Spanish and Luso-America. Thematic topics will include commercial networks, political/imperial/legal structures, and slavery. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=565&p_subj=HIST,N,0,The Atlantic World
1029,Graduate reading seminar provides overview of historical literature pertaining to British North America and the Atlantic World from 1500 to 1800. Related topics in Spanish and French North America also considered. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=566&p_subj=HIST,N,0,"North America, 1500-1800"
1030,"Graduate reading seminar on U.S. environmental history from the colonial era to the 20th century, including conservation and environmental movements. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=570&p_subj=HIST,N,2,Us Environmental History
1031,"This seminar will explore the historiography of pluralism and political belonging and its relationship to various national formations, including the United States. It will read major figures such a W.E.B. Dubois alongside exemplary figures from the colonial and postcolonial worlds to explore how claims to national belonging are made through the construction of historical narratives. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=571&p_subj=HIST,N,0,Historiography Of Nationalism
1032,"This course introduces graduate students to the key debates, scholars, and historiography relating to slavery and slaving in African history. Students will also gain basic familiarity with the narrative of slaving in Africa as well as introductions to topics in slavery studies like gender, commodities, and identity. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=574&p_subj=HIST,N,0,Slavery And Slaving In Africa
1033,"Graduate reading seminar on the Spanish and Portuguese colonies in the Americas. Topics covered include: the Iberian heritage, encounters and conquests, historical demography, the colonial economy, slavery, family life, religion, and the coming of independence. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=579&p_subj=HIST,N,0,Colonial Latin America
1034,Graduate research seminar on the history of the American South. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=583&p_subj=HIST,N,0,Southern History
1035,Graduate research seminar focusing on the southern portions of colonial British North America. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=584&p_subj=HIST,N,0,"The Early South, 1600-1800"
1036,Graduate reading seminar on American history from the early republic to World War I. Contents vary. ,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=588&p_subj=HIST,N,0,19Th Century America
1037,"Graduate reading seminar in world history.
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=590&p_subj=HIST,N,0,Introduction To World History
1038,"Graduate reading seminar on major scholarly literature of southern history. Includes readings, discussions, and a major paper on historiographical topic decided in consultation with the instructor. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=595&p_subj=HIST,N,0,The American South
1039,"This graduate seminar investigates the social and economic history of key port cities in the Atlantic World from the sixteenth through the nineteenth centuries. Emphasis will be placed on slavery and the slave trade, the spatial history of the port city, and the experiences of men and women. Digital humanities methods will be demonstrated through a case study of Rio de Janeiro. Students will develop and write a final paper on the port city of their choice. ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=596&p_subj=HIST,N,1,Atlantic World Port Cities
1040,"This seminar explores how various approaches from the secular to the religious, from the colonial to the post-colonial, and from the orientalist to the nationalist and post-orientalist have shaped the idea of what constitutes the Arab world.
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=598&p_subj=HIST,N,0,Making Of The Modern Arab World
1041,"Advanced graduate seminar examining world economic history and the history of political economy from 1500 to the present.
 ",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=604&p_subj=HIST,N,0,Economic History
1042,"RUSP is a two-semester course for students pursuing careers in academia/research. With a faculty mentor, students engage in a year-long research project and attend weekly seminars on how to conduct and present research, work in the academy, apply to post-undergraduate education and fellowships, and understand the social impact of research.",https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=HONS,N,1,Rice Undergraduate Scholars Program
